,stopwords
1546,owing limitation additionally
1547,involve improving
1548,acidity pre
1549,protected area illegal
1550,land soil degradation
1551,scientific assessment state
1552,industry level information
1553,fuel government
1554,short providing affordable
1555,city left grow
1556,macroeconomic consequence
1557,early nearly
1558,aggravates situation village
1559,ndps navigate
1560,waste treated type
1561,emission forest peatland
1562,spend conservation animal
1563,economics poor infrastructure
1564,declined result fuel
1565,preparing city
1566,highincome country
1567,productivity low
1568,assessment management
1569,assessment state
1570,reverse trend
1571,vastly increase
1572,technology water crisis
1573,strength diversity education
1574,rise united
1575,spending plan support
1576,increase level specie
1577,alignment transport
1578,good progress
1579,covid crisis disaster
1580,population income inequality
1581,sexual relationship experienced
1582,reliable measure ocean
1583,socioeconomic mobility escaping
1584,slowly met
1585,shared information contribution
1586,development council country
1587,spending making existing
1588,digital accessibility service
1589,transition needed
1590,inaction greatermillions child
1591,future welfare
1592,protection indicator
1593,finding paper
1594,adaptation limitation context
1595,development child
1596,efficiency effort investment
1597,market recent
1598,footprint environmental impact
1599,survival square
1600,low contrast formal
1601,pension arrangement number
1602,significant investment
1603,tax policy energy
1604,hurricane season
1605,food recovered food
1606,rest population indicator
1607,delivery report identifies
1608,environment suggests
1609,leaving school
1610,le able
1611,rose percentage
1612,ecosystem community support
1613,refers
1614,contribution fight
1615,growth come automatically
1616,child world
1617,programme review progress
1618,transition achieved
1619,absolute level renewable
1620,direct indirect impact
1621,business conduct
1622,africa compared rest
1623,underpinning evaluating
1624,poor improving
1625,received global
1626,goal pressure exposed
1627,sector internationally
1628,delivery mechanism
1629,transition clean energy
1630,burden diarrhoea
1631,affected corruption
1632,creating complex
1633,taken period
1634,melt
1635,access primary education
1636,defecation ended
1637,long way achieving
1638,deliver sustainable
1639,income resource live
1640,peaked survey low
1641,reflect interaction nutrient
1642,burden woman
1643,substandard
1644,belgium france
1645,ranking defies
1646,country population received
1647,traffic weakened expanding
1648,protection poverty
1649,critical production
1650,process support
1651,require financial support
1652,reason economic benefit
1653,forest biomass hectare
1654,time roughly
1655,delivers fair
1656,renewable resource deployed
1657,quota woman national
1658,country examination trend
1659,affecting woman
1660,look increasingly
1661,city urban expansion
1662,water electricity internet
1663,help manufacturing
1664,pollution source
1665,africa country national
1666,life support
1667,benefit development building
1668,impact poor
1669,woman men longer
1670,urban development housing
1671,neurological
1672,generating capacity absolute
1673,potential misalignment incentive
1674,living organism biosphere
1675,goal active governance
1676,health condition leading
1677,tailoring
1678,employment establishing
1679,comprehensive approach plan
1680,storm drought related
1681,lesson support student
1682,tajikistan
1683,aspect responding diversity
1684,multiple purpose
1685,oecd sustainable development
1686,degradation land degradation
1687,persistence certain
1688,associated emission
1689,hiv accessing
1690,dimension dimension policy
1691,vehicle initiative evi
1692,ha incorporated
1693,heavier annual
1694,rate vehicle
1695,implementing sustainable
1696,experienced physical punishment
1697,classify
1698,effectively problem multiple
1699,equality education employment
1700,affect stock located
1701,identifies potential area
1702,supplied consumed
1703,preparation regional
1704,climate change conference
1705,pollution improving water
1706,woman men affected
1707,health service measured
1708,natural resource needed
1709,hurricane katrina subsequent
1710,supporting conservation biodiversity
1711,policy measure place
1712,need world
1713,reasonably cost
1714,given country ensure
1715,relate drinking water
1716,young woman partner
1717,record individual road
1718,worker adult region
1719,male achieve higher
1720,affected soil degradation
1721,health care czech
1722,curricular adaptation
1723,burden cvd
1724,making existing
1725,rebuild disaster
1726,sector involve changing
1727,effort sub
1728,account growing number
1729,including quota
1730,agricultural activity
1731,water tackling
1732,green growth size
1733,manufacturing production developed
1734,related factor
1735,spite considerable available
1736,bioenergy solution including
1737,differing eligibility
1738,interlinks
1739,urbanised land area
1740,development compromise global
1741,reached accession conserved
1742,challenge regaining livelihood
1743,marginalized community recent
1744,poverty estimated impact
1745,movement rural urban
1746,sbsta session
1747,urbanising
1748,help farmer mitigate
1749,participate drop
1750,assistance series
1751,effort associated risk
1752,meet educational
1753,good health promotes
1754,night run
1755,arriving extreme condition
1756,rapidly allowed living
1757,justice stronger judicial
1758,ensure potential
1759,protein ha
1760,water single sex
1761,help region industrial
1762,stakeholder join
1763,dry area country
1764,carbon pricing addition
1765,proportion research
1766,initiative czech
1767,challenge household
1768,discrimination woven fabric
1769,infrastructure asia
